"id","city","longitude","latitude"
"1110018","Dabhoi","73.43333300","22.18333300"
"1110023","Dabka","72.95000000","22.25000000"
"1110066","Dadhaha","73.36666700","23.55000000"
"1110067","Dadhalia","73.36666700","23.55000000"
"1110093","Dagachi","70.90000000","20.70000000"
"1110099","Dagasi","70.90000000","20.70000000"
"1110118","Dahegam","72.81666700","23.16666700"
"1110119","Dahej","72.58333300","21.70000000"
"1110120","Dahida","71.11666700","21.40000000"
"1110127","Dahinsara","70.61666700","22.96666700"
"1110128","Dahiusara","70.61666700","22.96666700"
"1110134","Dahod","74.26666700","22.83333300"
"1110138","Daidarda","71.73333300","24.48333300"
"1110144","Daisalpur","70.68333300","23.73333300"
"1110146","Daisara","69.51666700","23.10000000"
"1110157","Dakor","73.15000000","22.75000000"
"1110189","Dalkhania","70.91666700","21.23333300"
"1110214","Dama","72.08333300","24.28333300"
"1110244","Damka","72.66666700","21.20000000"
"1110246","Damlawari","72.75000000","21.00000000"
"1110249","Damnagar","71.51666700","21.70000000"
"1110280","Dandi","72.63333300","21.33333300"
"1110302","Dangarva","72.45000000","23.38333300"
"1110303","Dangarvadi","70.93333300","20.71666700"
"1110304","Dangarwa","72.45000000","23.38333300"
"1110320","Dangrawari","70.93333300","20.71666700"
"1110347","Danta","72.76666700","24.18333300"
"1110346","Danta-Bhavangadh","72.76666700","24.18333300"
"1110350","Dantali","73.13333300","23.08333300"
"1110355","Dantivada","72.33333300","24.35000000"
"1110415","Dared","71.73333300","21.98333300"
"1110440","Dari","70.32250000","20.94555600"
"1110494","Dasada","71.83333300","23.31666700"
"1110514","Daslana","72.05000000","23.25000000"
"1110536","Datha","71.95000000","21.68333300"
"1110609","Debhari","73.51666700","23.26666700"
"1110618","Dedadra","71.76666700","22.78333300"
"1110620","Dedan","71.28333300","21.05000000"
"1110621","Dedarda","71.70000000","21.48333300"
"1110624","Dediapada","73.58333300","21.63333300"
"1110627","Deesa","72.16666700","24.25000000"
"1110628","Degam","69.59583300","21.69888900"
"1110639","Dehej","72.58333300","21.70000000"
"1110638","Dehejbara","72.58333300","21.70000000"
"1110640","Deheli","73.21666700","21.56666700"
"1110641","Dehemai","73.21666700","23.15000000"
"1110642","Dehgam","72.81666700","23.16666700"
"1110666","Dekawara","72.15000000","23.35000000"
"1110677","Delol","73.51666700","22.65000000"
"1110678","Delvada","71.03333300","20.76666700"
"1110681","Delwara","72.83333300","20.96666700"
"1110707","Deogad","73.33333300","21.38333300"
"1110728","Deolia","70.98333300","23.01666700"
"1110731","Deolia Para","74.40000000","22.88333300"
"1110743","Deora","69.88333300","21.73333300"
"1110794","Derdi Janbai","71.45000000","21.81666700"
"1110801","Derol","72.83333300","23.58333300"
"1110802","Deroli","73.25000000","23.08333300"
"1110793","Deráwáli","70.16666700","22.31666700"
"1110804","Desalpur","70.68333300","23.73333300"
"1110805","Desar","73.28333300","22.71666700"
"1110817","Desotar","72.86666700","23.80000000"
"1110824","Detroj","72.18333300","23.33333300"
